Mata Pelajaran,Soal,Jawaban,Skor,Keterangan
Bahasa Indonesia ,"Dari ketiga jenis teks (LHO, Anekdot, Hikayat), pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut, berdasarkan pemahamanmu",Setelah seseorang mempelajari Teks LHO seorang dapat memahami apa yg di  di amati dgn jelas.,0,Jawaban Siswa
Bahasa Indonesia ,Jelaskan dengan bahasamu sendiri apa yang dimaksud dengan Teks Laporan Hasil Observasi!,"Teks Laporan Hasil Observasi adalah teks yang berisi laporan tentang pemahaman secara Faktual, akurat, dan sistematis",10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan tiga ciri utama dari Teks Laporan Hasil Observasi!,"bersifat faktual, objektif, sistematis",10,Jawaban Siswa
Bahasa Indonesia ,Apa tujuan dibuatnya teks laporan hasil observasi? Jelaskan secara sederhana.,"agar untuk memahami suatu objek secara Faktual, akurat, dan sistematis",0,Jawaban Siswa
Bahasa Indonesia ,Jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu.,teks Anekdot ialah sebuah teks yang tentang mengkritik,0,Jawaban Siswa
Bahasa Indonesia ,Sebutkan dua ciri yang selalu ada dalam teks anekdot.,"mencari tahu, menyelidiki, berisi tentang mengkritik",0,Jawaban Siswa
Bahasa Indonesia ,Sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya.,"abstraksi = permulaan,
orientasi,
koda = kesimpulan",10,Jawaban Siswa
Bahasa Indonesia ,Apa yang dimaksud dengan hikayat? Jelaskan dengan bahasamu sendiri.,teks yang berisi tentang aneka lucu serta Pelajaran Penting.,10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan tiga ciri khas hikayat sebagai karya sastra lama.,"adanya keajaiban, tokohnya luar biasa",0,Jawaban Siswa
Bahasa Indonesia ,Sebutkan struktur umum hikayat dan jelaskan fungsi masing-masing bagian.,inspiratif,0,Jawaban Siswa
Bahasa Indonesia ,"Dari ketiga jenis teks (LHO, Anekdot, Hikayat), pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut, berdasarkan pemahamanmu","LHO (Agar lebih mudah dalam meneliti, mendeskripsikan)",0,Jawaban Siswa
Bahasa Indonesia ,Jelaskan dengan bahasamu sendiri apa yang dimaksud dengan Teks Laporan Hasil Observasi!,teks LHO adalah teks laporan observasi / menjelaskan arti umum dari Suatu objek hasil Pengamatan langsung,10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan tiga ciri utama dari Teks Laporan Hasil Observasi!,"berisi Pembahasan tentang Suatu objek, disusun secara Sistematis, terdapat perincian bagian Suatu Objek",10,Jawaban Siswa
Bahasa Indonesia ,Apa tujuan dibuatnya teks laporan hasil observasi? Jelaskan secara sederhana.,tujuan teks laporan hasil observasi adalah untuk menyampaikan Informasi Faktual tentang Suatu objek atau peristiwa,10,Jawaban Siswa
Bahasa Indonesia ,Jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu.,"cerita Singkat yang bersifat lucu/menyindir. Biasanya digunakan mengeritik Perilaku, kebijakan atau keadaan tertentu",10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan dua ciri yang selalu ada dalam teks anekdot.,"cerita Singkat, menyindiri",10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya.,"abstraksi, orientasi, krisis, Reaksi, koda",5,Jawaban Siswa
Bahasa Indonesia ,Apa yang dimaksud dengan hikayat? Jelaskan dengan bahasamu sendiri.,hikayat merupakan karya Sastra melayu klasik berupa Prosa,10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan tiga ciri khas hikayat sebagai karya sastra lama.,"menggunakan bahasa melayu, bersifat intonatif, pratogis",10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan struktur umum hikayat dan jelaskan fungsi masing-masing bagian.,"abstraksi, komunikasi, orientasi, Evaluasi, koda, resolusi",10,Jawaban Siswa
Bahasa Indonesia ,"Dari ketiga jenis teks (LHO, Anekdot, Hikayat), pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut, berdasarkan pemahamanmu",anekdhot = mengritik orang yang maupun ngeritik baik atau buruk dan menyindir. Menyindir biasanya menyindir orang entah itu sindiran baik atau buruk.,10,Jawaban Siswa
Bahasa Indonesia ,Jelaskan dengan bahasamu sendiri apa yang dimaksud dengan Teks Laporan Hasil Observasi!,teks observasi adalah teks Laporan yang deskripsi nya berurutan seperti teks tutorial atau cara,10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan tiga ciri utama dari Teks Laporan Hasil Observasi!,deskripsi nya bersetep / berurut - berdeskripsi jelas menunjukan cara / tutorial,10,Jawaban Siswa
Bahasa Indonesia ,Apa tujuan dibuatnya teks laporan hasil observasi? Jelaskan secara sederhana.,menunjukan cara bagaimana atau mamahami teks observasi,10,Jawaban Siswa
Bahasa Indonesia ,Jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu.,teks anekdot adalah teks yang berupa hiburan dan ada mengandung sedikit sindiran,10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan dua ciri yang selalu ada dalam teks anekdot.,Sindiran Publik dan sindiran Lingkungan,10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya.,"berisi tentang hiburan, dan sedikit berisi tentang sindiran ublik",10,Jawaban Siswa
Bahasa Indonesia ,Apa yang dimaksud dengan hikayat? Jelaskan dengan bahasamu sendiri.,"hikayat adalah sebuah cerita Legenda, orang melayu",10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan tiga ciri khas hikayat sebagai karya sastra lama.,menggunakan bahasa melayu lama - menceritakan sosok pahlawan - tokoh terkenal,10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan struktur umum hikayat dan jelaskan fungsi masing-masing bagian.,bahasa melayu lama / karas dan sosok pahlawan,10,Jawaban Siswa
Bahasa Indonesia ,"Dari ketiga jenis teks (LHO, Anekdot, Hikayat), pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut, berdasarkan pemahamanmu","teks anekdok pesan yang disampaikan, jangan bersikap tidak adil di hadapan Publik",10,Jawaban Siswa
Bahasa Indonesia ,Jelaskan dengan bahasamu sendiri apa yang dimaksud dengan Teks Laporan Hasil Observasi!,teks yang berisi penjabaran umum dan pelaporan hasil pengamatan yang sistematis terhadap suatu objek,10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan tiga ciri utama dari Teks Laporan Hasil Observasi!,"bahasa baku dan ilmiah, fokus pada objek tunggal",10,Jawaban Siswa
Bahasa Indonesia ,Apa tujuan dibuatnya teks laporan hasil observasi? Jelaskan secara sederhana.,untuk melaporkan hasil pengamtaan secara sistematis agar dpt di pahami dan digunakan sebagai landasan untuk tindakan / pemahaman lebih.,10,Jawaban Siswa
Bahasa Indonesia ,Jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu.,teks anekdot adalah tujuan singkat berisi cerita lucu / sindiran,10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan dua ciri yang selalu ada dalam teks anekdot.,"cerita singkat, humor",10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya.,"abstrak = pembuka dari sebuah cerita
oreantasi = menjelaskan latar, Tokoh dan situasi
Krisis = bagian ini dari kejadian lucu,
Koda = Penutup dari sebuah cerita",10,Jawaban Siswa
Bahasa Indonesia ,Apa yang dimaksud dengan hikayat? Jelaskan dengan bahasamu sendiri.,hikayat adalah karya sastra malayu klasik hikayat termasuk kedalam teks cerita rakyat. Juga cerita terkaam berisi cerita sisilan (DD yg bersifat sejarah keagamaan dll),10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan tiga ciri khas hikayat sebagai karya sastra lama.,"bersifat intanosantris, Tidak logis, Staris / logis",10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan struktur umum hikayat dan jelaskan fungsi masing-masing bagian.,"abstraksi, orientasi, komplikasi, elaqsi, koda",10,Jawaban Siswa
Bahasa Indonesia ,"Dari ketiga jenis teks (LHO, Anekdot, Hikayat), pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut, berdasarkan pemahamanmu",,10,Jawaban Siswa
Bahasa Indonesia ,Jelaskan dengan bahasamu sendiri apa yang dimaksud dengan Teks Laporan Hasil Observasi!,Teks laporan oBservasi adalah Dimana orang menulis cerita Dengan Sederhana Tapi harus rinci,10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan tiga ciri utama dari Teks Laporan Hasil Observasi!,"kata Pembuka, kata Pentup, Tokoh,  Tempat, Waktu",10,Jawaban Siswa
Bahasa Indonesia ,Apa tujuan dibuatnya teks laporan hasil observasi? Jelaskan secara sederhana.,Orang akan Gampang menceritakan kejadian yang pernah Dia alami. Secara rinci / sederhana,10,Jawaban Siswa
Bahasa Indonesia ,Jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu.,texs anexdot adalah Dimana orang menjelaskan secara rinci dan tIeliti,10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan dua ciri yang selalu ada dalam teks anekdot.,"Paragraf, Tokoh",10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya.,"Paragraf 1 / Pembukaan,
Paragraf 2 menjelaskan cerita / kejadian,
Paragraf 3 Penutupan",10,Jawaban Siswa
Bahasa Indonesia ,Apa yang dimaksud dengan hikayat? Jelaskan dengan bahasamu sendiri.,Texs hikayat aDalah Dimana seseorang menceritakan / Dongeng Jaman Dulu.,10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan tiga ciri khas hikayat sebagai karya sastra lama.,"Pembuka, Pengantar, Penutup",10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan struktur umum hikayat dan jelaskan fungsi masing-masing bagian.,"abraksi, areantasi, kompinasi, elavasi, kode",10,Jawaban Siswa
Bahasa Indonesia ,"Dari ketiga jenis teks (LHO, Anekdot, Hikayat), pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut, berdasarkan pemahamanmu",lho adalah pengertian texs yang berisi Penjabaran umum dan Pelaporan hasil Pengamatan tang sistematis Terhadap Sesuatu Objek,10,Jawaban Siswa
Bahasa Indonesia ,Jelaskan dengan bahasamu sendiri apa yang dimaksud dengan Teks Laporan Hasil Observasi!,teks yang untuk menyampaikan hasil laporan,10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan tiga ciri utama dari Teks Laporan Hasil Observasi!,abstraksi,10,Jawaban Siswa
Bahasa Indonesia ,Apa tujuan dibuatnya teks laporan hasil observasi? Jelaskan secara sederhana.,agar dapat mengetahui laporan hasil observasi dengna rinci,10,Jawaban Siswa
Bahasa Indonesia ,Jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu.,teks anekdot = teks yang menjelaskan tentang kritikan / pesan moral.,10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan dua ciri yang selalu ada dalam teks anekdot.,"sindiran, kritik.",10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya.,"teks, laporan, hasil, Pesan atau nilai",10,Jawaban Siswa
Bahasa Indonesia ,Apa yang dimaksud dengan hikayat? Jelaskan dengan bahasamu sendiri.,gambar yang berbentuk Prosa dan Mengalami peristiwa dahulu / karya sastra lama.,10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan tiga ciri khas hikayat sebagai karya sastra lama.,"pesan moral, kritikan, atau nilai.",10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan struktur umum hikayat dan jelaskan fungsi masing-masing bagian.,"teks, gambar/ karya sastra lama, Laporan, hasil, pesan atau nilai.",10,Jawaban Siswa
Bahasa Indonesia ,"Dari ketiga jenis teks (LHO, Anekdot, Hikayat), pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut, berdasarkan pemahamanmu",agar seseorang Melihat / Mencontoh hal positifnya,10,Jawaban Siswa
Bahasa Indonesia ,Jelaskan dengan bahasamu sendiri apa yang dimaksud dengan Teks Laporan Hasil Observasi!,Laporan Hasil Observasi adalah untuk menejlaskan Suatu Kejadia Dan di Jelaskan Hasil Observasi itu dengan Secara detail.,10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan tiga ciri utama dari Teks Laporan Hasil Observasi!,Lucu (meggelitik),10,Jawaban Siswa
Bahasa Indonesia ,Apa tujuan dibuatnya teks laporan hasil observasi? Jelaskan secara sederhana.,menceritakan Hasil Observasi itu,10,Jawaban Siswa
Bahasa Indonesia ,Jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu.,menjelaskan Suatu Pemohonan,10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan dua ciri yang selalu ada dalam teks anekdot.,Karya Sastra lama.,10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya.,memahami suatu struktur Secara detail,10,Jawaban Siswa
Bahasa Indonesia ,Apa yang dimaksud dengan hikayat? Jelaskan dengan bahasamu sendiri.,menjelaskan Suatu Penemuan lama  Dan di Jelaskan Penerima lama itu Dengan  Secara Detail,10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan tiga ciri khas hikayat sebagai karya sastra lama.,waktu penemuan Usia karya itu,10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan struktur umum hikayat dan jelaskan fungsi masing-masing bagian.,menjelaskan suatu Penerima Dan Karya Sastra Lama,10,Jawaban Siswa
Bahasa Indonesia ,"Dari ketiga jenis teks (LHO, Anekdot, Hikayat), pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut, berdasarkan pemahamanmu",LHO menceritakan suatu cerita yang dibuat,10,Jawaban Siswa
Bahasa Indonesia ,Jelaskan dengan bahasamu sendiri apa yang dimaksud dengan Teks Laporan Hasil Observasi!,Berbicara Sopan santun,10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan tiga ciri utama dari Teks Laporan Hasil Observasi!,"menjaga toleransi, menolong dan Membantu orang sakit",10,Jawaban Siswa
Bahasa Indonesia ,Apa tujuan dibuatnya teks laporan hasil observasi? Jelaskan secara sederhana.,membicarakan hal sesuatu,10,Jawaban Siswa
Bahasa Indonesia ,Jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu.,teks laporan,10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan dua ciri yang selalu ada dalam teks anekdot.,laporan pehaman,10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya.,kata kata,10,Jawaban Siswa
Bahasa Indonesia ,Apa yang dimaksud dengan hikayat? Jelaskan dengan bahasamu sendiri.,muslim,10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan tiga ciri khas hikayat sebagai karya sastra lama.,melukis,10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan struktur umum hikayat dan jelaskan fungsi masing-masing bagian.,Toa,10,Jawaban Siswa
Bahasa Indonesia ,"Dari ketiga jenis teks (LHO, Anekdot, Hikayat), pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut, berdasarkan pemahamanmu",untuk memikir sesuatu,10,Jawaban Siswa
Bahasa Indonesia ,Jelaskan dengan bahasamu sendiri apa yang dimaksud dengan Teks Laporan Hasil Observasi!,"Teks Laporan Hasil observasi adalah teks yg kita tulis dari melihat atau Menonton sesuatu seperti hewan, Tumbuhan dsb atau Penjelasan Secara rinci",10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan tiga ciri utama dari Teks Laporan Hasil Observasi!,"Bersifat Objektif,Disusun sistematis, Ditulis Berdasarkan Fakta",10,Jawaban Siswa
Bahasa Indonesia ,Apa tujuan dibuatnya teks laporan hasil observasi? Jelaskan secara sederhana.,agar memberikan Informasi faktual tentang suatu objek pengamatan,10,Jawaban Siswa
Bahasa Indonesia ,Jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu.,Teks Anekdot Cerita Singkat yg Lucu atau menyindir,10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan dua ciri yang selalu ada dalam teks anekdot.,"Mengandung Humor, Berdasarkan Kejadian yg hampir nyala",10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya.,"Abstrak, orientasi, krisis, Reaksi, Koda",10,Jawaban Siswa
Bahasa Indonesia ,Apa yang dimaksud dengan hikayat? Jelaskan dengan bahasamu sendiri.,Hikayat adalah Cerita Klasik yg berisi tentang tokoh hebat biasanya banyak kejadian,10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan tiga ciri khas hikayat sebagai karya sastra lama.,"Mengandung unsur fantastik, Bersifat Turun Temurun, Cerita berdasarkan Kejadian",10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan struktur umum hikayat dan jelaskan fungsi masing-masing bagian.,"Tema, Tokoh, alur, Latar , amanat",10,Jawaban Siswa
Bahasa Indonesia ,"Dari ketiga jenis teks (LHO, Anekdot, Hikayat), pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut, berdasarkan pemahamanmu","nilai moral, krisis sosial, informasi penting, Pelajaran hidup yg ingin disampaikan si penulis",10,Jawaban Siswa
Bahasa Indonesia ,Jelaskan dengan bahasamu sendiri apa yang dimaksud dengan Teks Laporan Hasil Observasi!,Laporan hasil observasi adalah teks yang berisi penjabaran umum atau laporan faktual tentang suatu objek,10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan tiga ciri utama dari Teks Laporan Hasil Observasi!,"bersifat objektif, berdasarkan fakta, disusun secara sistematis",10,Jawaban Siswa
Bahasa Indonesia ,Apa tujuan dibuatnya teks laporan hasil observasi? Jelaskan secara sederhana.,untuk menyajikan Informasi data dan fakta secara objektif tentang suatu objek atau Fenomena,10,Jawaban Siswa
Bahasa Indonesia ,Jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu.,cerita singkat yang lucu dan mengsankan biasanya berdasarkan kejadian nyata,10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan dua ciri yang selalu ada dalam teks anekdot.,"humor yg mengkritik, sindiran halus",10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya.,"abstrak (gambaran umum),
orientasi (menunjukkan latar belakang),
krisis (puncak cerita yang berisi masala / konflik),
Reaksi (tanggapan atau Respon karakter krisis),
Koda (bagian Penutup yg berisi Kesimpulan)",10,Jawaban Siswa
Bahasa Indonesia ,Apa yang dimaksud dengan hikayat? Jelaskan dengan bahasamu sendiri.,"Karya Sastra melayi lama berbentuk Prosa yg berisi cerita, undang undang atau silsilah",10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan tiga ciri khas hikayat sebagai karya sastra lama.,"bersifat istanasentris, pralogis, menggunakan bahasa melayu lama",10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan struktur umum hikayat dan jelaskan fungsi masing-masing bagian.,"abstraksi, orientasi, komplikasi, evaluasi, resolusi, koda",8,Jawaban Siswa
Bahasa Indonesia ,"Dari ketiga jenis teks (LHO, Anekdot, Hikayat), pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut, berdasarkan pemahamanmu",teks anekdot = hiburan yang dibungkus kritik sosial Sindiran halus dan Pesan moral  atau amanat,10,Jawaban Siswa
Bahasa Indonesia ,Jelaskan dengan bahasamu sendiri apa yang dimaksud dengan Teks Laporan Hasil Observasi!,laporan Hasill pengamatan yg mencatat Secara Fakta Berdasarkan objektif dn Strukturnya,10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan tiga ciri utama dari Teks Laporan Hasil Observasi!,"objektif, sistematis, kontrenatif",5,Jawaban Siswa
Bahasa Indonesia ,Apa tujuan dibuatnya teks laporan hasil observasi? Jelaskan secara sederhana.,"memberikan informasi, menganalisis, mengevaluasi",10,Jawaban Siswa
Bahasa Indonesia ,Jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu.,cerita singkat lucu dn menarik biasanya yata,0,Jawaban Siswa
Bahasa Indonesia ,Sebutkan dua ciri yang selalu ada dalam teks anekdot.,humor yg mnegeritik sindiran halus,10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya.,"Pembuka, isi, Penutup",10,Jawaban Siswa
Bahasa Indonesia ,Apa yang dimaksud dengan hikayat? Jelaskan dengan bahasamu sendiri.,cerita pendek yg mengunakan Bahasa melayu menceritakan pertualangan pahlamawan,10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan tiga ciri khas hikayat sebagai karya sastra lama.,"Bersifat instaniSentres, prlogis, mengunakan Bahasa melayu lama",10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan struktur umum hikayat dan jelaskan fungsi masing-masing bagian.,"Abstraksi, orientasi, famlikasi, eramlikasi, revolusi, koda",5,Jawaban Siswa
Bahasa Indonesia ,"Dari ketiga jenis teks (LHO, Anekdot, Hikayat), pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut, berdasarkan pemahamanmu","nilai moral = berhubungan dgn baik / buruk prilaku 9jujur, sabar, tamak
Teks Anekdot = Hiburan yg dibungkus kritik Sosial sindiran halus dn pesan moral/amanat",10,Jawaban Siswa
Bahasa Indonesia ,Jelaskan dengan bahasamu sendiri apa yang dimaksud dengan Teks Laporan Hasil Observasi!,hasil teks observasi itu Seperti teks deskripsi dengan mencatat sebuah benda dengan rinci.,10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan tiga ciri utama dari Teks Laporan Hasil Observasi!,"bersifat objektif, disusun sistematis, ditulis berdasarkan fakta",10,Jawaban Siswa
Bahasa Indonesia ,Apa tujuan dibuatnya teks laporan hasil observasi? Jelaskan secara sederhana.,agar dapat mengenali benda asing,0,Jawaban Siswa
Bahasa Indonesia ,Jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu.,teks anekdot adalah teks yang berisi sesuatu lelucon atau candaan dengan bahasa yang sederhana,10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan dua ciri yang selalu ada dalam teks anekdot.,mengandung humor berdasarkan kejadian yang hampir nyata,10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya.,"artefak, orientasi",0,Jawaban Siswa
Bahasa Indonesia ,Apa yang dimaksud dengan hikayat? Jelaskan dengan bahasamu sendiri.,hikayat adalah teks berisi cerita laman atau fiksi yang menggunakan bahasa melayu lama.,10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan tiga ciri khas hikayat sebagai karya sastra lama.,"mengandung unsur tethenik, bersifat turun menurut, berdasarkan kejadian",10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan struktur umum hikayat dan jelaskan fungsi masing-masing bagian.,"tema, tokoh, alur, latar , amanat",0,Jawaban Siswa
Bahasa Indonesia ,"Dari ketiga jenis teks (LHO, Anekdot, Hikayat), pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut, berdasarkan pemahamanmu","nilai moral , krisis sosial, informasi penting , pelajaran hidup yang disampaikan si penulis",0,Jawaban Siswa
Bahasa Indonesia ,Jelaskan dengan bahasamu sendiri apa yang dimaksud dengan Teks Laporan Hasil Observasi!,laporan berisi fajta dan hasil pengalaman,10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan tiga ciri utama dari Teks Laporan Hasil Observasi!,"fakta, teratur dan menggunakan bahasa baku",10,Jawaban Siswa
Bahasa Indonesia ,Apa tujuan dibuatnya teks laporan hasil observasi? Jelaskan secara sederhana.,menyampaikan fakta hasil pengamatan,0,Jawaban Siswa
Bahasa Indonesia ,Jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu.,cerita pendek yang lucu sekaligus menyindir,10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan dua ciri yang selalu ada dalam teks anekdot.,menyindir dan lucu ,10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya.,"abstraksi = pembuka,
orientasi = mengenalkan,
kritik = masalah,
reaksi = penyelesaian,
koda = penutupan",10,Jawaban Siswa
Bahasa Indonesia ,Apa yang dimaksud dengan hikayat? Jelaskan dengan bahasamu sendiri.,cerita tradisional tentang tokoh luar biasa dengan unsur positif,10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan tiga ciri khas hikayat sebagai karya sastra lama.,"mengandung unsur istimewa,khayal dan tokoh",0,Jawaban Siswa
Bahasa Indonesia ,Sebutkan struktur umum hikayat dan jelaskan fungsi masing-masing bagian.,mengantar isi peristiwa penting,0,Jawaban Siswa
Bahasa Indonesia ,"Dari ketiga jenis teks (LHO, Anekdot, Hikayat), pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut, berdasarkan pemahamanmu",hikayat = karena menceritakkan kisah kisah jaman dulu,0,Jawaban Siswa
Bahasa Indonesia ,Jelaskan dengan bahasamu sendiri apa yang dimaksud dengan Teks Laporan Hasil Observasi!,Adalah teks yg berisi laporan hasil dari pengamatan (observasi),10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan tiga ciri utama dari Teks Laporan Hasil Observasi!,"Menggunakan bahasa yg baku, menggunakan cara yg sistematis, Pembahasan",10,Jawaban Siswa
Bahasa Indonesia ,Apa tujuan dibuatnya teks laporan hasil observasi? Jelaskan secara sederhana.,untuk mendapatkan informasi,10,Jawaban Siswa
Bahasa Indonesia ,Jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu.,Adalah cerita singkat yg berisi pujian/kritikan pada suatu prilaku/kebijakan dg cara menghibur dan ttp ada pesan moralnya ,10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan dua ciri yang selalu ada dalam teks anekdot.,"cerita, singkat, sindiran",10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya.,"Abstraksi = gambaran cerita,
orientasi = latar cerita, memperkenalkan tokoh, tempat dan waktu,
krisis = bagian inti cerita,
reaksi = tanggapan,
koda = penutup cerita",10,Jawaban Siswa
Bahasa Indonesia ,Apa yang dimaksud dengan hikayat? Jelaskan dengan bahasamu sendiri.,"Adalah karya Sastra Prosa Melayu lama yg berisi Cerita / undang undang yg bersifat keagamaan, rekaan dan Historis",10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan tiga ciri khas hikayat sebagai karya sastra lama.,"Mustahil, Istanasentris, Anonoim",10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan struktur umum hikayat dan jelaskan fungsi masing-masing bagian.,"Abstraksi = gambaran cerita,
Orientasi = latar cerita,
Komplikasi = bagian inti masalah,
evaluasi = bagian pembenaran,
resolusi = solusi dalam cerita
koda = penutup",10,Jawaban Siswa
Bahasa Indonesia ,"Dari ketiga jenis teks (LHO, Anekdot, Hikayat), pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut, berdasarkan pemahamanmu",Penulis dapat mengirim pesan berupa Pujian/kritikan dg hal lucu dan sarkas kpd siapa saja.,10,Jawaban Siswa
