question,answer,score
Apa yang dimaksud dengan hikayat? Jelaskan dengan bahasamu sendiri.,hikayat adalah karya sastra malayu klasik hikayat termasuk kedalam teks cerita rakyat. Juga cerita terkaam berisi cerita sisilan (DD yg bersifat sejarah keagamaan dll),10
Sebutkan tiga ciri khas hikayat sebagai karya sastra lama.,"bersifat intanosantris, Tidak logis, Staris / logis",10
Sebutkan struktur umum hikayat dan jelaskan fungsi masing-masing bagian.,"abstraksi, orientasi, komplikasi, elaqsi, koda",10
"Dari ketiga jenis teks (LHO, Anekdot, Hikayat), pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut, berdasarkan pemahamanmu",,10
Jelaskan dengan bahasamu sendiri apa yang dimaksud dengan Teks Laporan Hasil Observasi!,Teks laporan oBservasi adalah Dimana orang menulis cerita Dengan Sederhana Tapi harus rinci,10
Sebutkan tiga ciri utama dari Teks Laporan Hasil Observasi!,"kata Pembuka, kata Pentup, Tokoh,  Tempat, Waktu",10
Apa tujuan dibuatnya teks laporan hasil observasi? Jelaskan secara sederhana.,Orang akan Gampang menceritakan kejadian yang pernah Dia alami. Secara rinci / sederhana,10
Jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu.,texs anexdot adalah Dimana orang menjelaskan secara rinci dan tIeliti,10
Sebutkan dua ciri yang selalu ada dalam teks anekdot.,"Paragraf, Tokoh",10
Sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya.,"Paragraf 1 / Pembukaan,
Paragraf 2 menjelaskan cerita / kejadian,
Paragraf 3 Penutupan",10
Apa yang dimaksud dengan hikayat? Jelaskan dengan bahasamu sendiri.,Texs hikayat aDalah Dimana seseorang menceritakan / Dongeng Jaman Dulu.,10
Sebutkan tiga ciri khas hikayat sebagai karya sastra lama.,"Pembuka, Pengantar, Penutup",10
Sebutkan struktur umum hikayat dan jelaskan fungsi masing-masing bagian.,"abraksi, areantasi, kompinasi, elavasi, kode",10
"Dari ketiga jenis teks (LHO, Anekdot, Hikayat), pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut, berdasarkan pemahamanmu",lho adalah pengertian texs yang berisi Penjabaran umum dan Pelaporan hasil Pengamatan tang sistematis Terhadap Sesuatu Objek,10
Jelaskan dengan bahasamu sendiri apa yang dimaksud dengan Teks Laporan Hasil Observasi!,teks yang untuk menyampaikan hasil laporan,10
Sebutkan tiga ciri utama dari Teks Laporan Hasil Observasi!,abstraksi,10
Apa tujuan dibuatnya teks laporan hasil observasi? Jelaskan secara sederhana.,agar dapat mengetahui laporan hasil observasi dengna rinci,10
Jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu.,teks anekdot = teks yang menjelaskan tentang kritikan / pesan moral.,10
Sebutkan dua ciri yang selalu ada dalam teks anekdot.,"sindiran, kritik.",10
Sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya.,"teks, laporan, hasil, Pesan atau nilai",10
Apa yang dimaksud dengan hikayat? Jelaskan dengan bahasamu sendiri.,gambar yang berbentuk Prosa dan Mengalami peristiwa dahulu / karya sastra lama.,10
Sebutkan tiga ciri khas hikayat sebagai karya sastra lama.,"pesan moral, kritikan, atau nilai.",10
Sebutkan struktur umum hikayat dan jelaskan fungsi masing-masing bagian.,"teks, gambar/ karya sastra lama, Laporan, hasil, pesan atau nilai.",10
"Dari ketiga jenis teks (LHO, Anekdot, Hikayat), pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut, berdasarkan pemahamanmu",agar seseorang Melihat / Mencontoh hal positifnya,10
Jelaskan dengan bahasamu sendiri apa yang dimaksud dengan Teks Laporan Hasil Observasi!,Laporan Hasil Observasi adalah untuk menejlaskan Suatu Kejadia Dan di Jelaskan Hasil Observasi itu dengan Secara detail.,10
Sebutkan tiga ciri utama dari Teks Laporan Hasil Observasi!,Lucu (meggelitik),10
Apa tujuan dibuatnya teks laporan hasil observasi? Jelaskan secara sederhana.,menceritakan Hasil Observasi itu,10
Jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu.,menjelaskan Suatu Pemohonan,10
Sebutkan dua ciri yang selalu ada dalam teks anekdot.,Karya Sastra lama.,10
Sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya.,memahami suatu struktur Secara detail,10
Apa yang dimaksud dengan hikayat? Jelaskan dengan bahasamu sendiri.,menjelaskan Suatu Penemuan lama  Dan di Jelaskan Penerima lama itu Dengan  Secara Detail,10
Sebutkan tiga ciri khas hikayat sebagai karya sastra lama.,waktu penemuan Usia karya itu,10
Sebutkan struktur umum hikayat dan jelaskan fungsi masing-masing bagian.,menjelaskan suatu Penerima Dan Karya Sastra Lama,10
"Dari ketiga jenis teks (LHO, Anekdot, Hikayat), pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut, berdasarkan pemahamanmu",LHO menceritakan suatu cerita yang dibuat,10
Jelaskan dengan bahasamu sendiri apa yang dimaksud dengan Teks Laporan Hasil Observasi!,Berbicara Sopan santun,10
Sebutkan tiga ciri utama dari Teks Laporan Hasil Observasi!,"menjaga toleransi, menolong dan Membantu orang sakit",10
Apa tujuan dibuatnya teks laporan hasil observasi? Jelaskan secara sederhana.,membicarakan hal sesuatu,10
Jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu.,teks laporan,10
Sebutkan dua ciri yang selalu ada dalam teks anekdot.,laporan pehaman,10
Sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya.,kata kata,10
Apa yang dimaksud dengan hikayat? Jelaskan dengan bahasamu sendiri.,muslim,10
Sebutkan tiga ciri khas hikayat sebagai karya sastra lama.,melukis,10
Sebutkan struktur umum hikayat dan jelaskan fungsi masing-masing bagian.,Toa,10
"Dari ketiga jenis teks (LHO, Anekdot, Hikayat), pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut, berdasarkan pemahamanmu",untuk memikir sesuatu,10
Jelaskan dengan bahasamu sendiri apa yang dimaksud dengan Teks Laporan Hasil Observasi!,"Teks Laporan Hasil observasi adalah teks yg kita tulis dari melihat atau Menonton sesuatu seperti hewan, Tumbuhan dsb atau Penjelasan Secara rinci",10
Sebutkan tiga ciri utama dari Teks Laporan Hasil Observasi!,"Bersifat Objektif,Disusun sistematis, Ditulis Berdasarkan Fakta",10
Apa tujuan dibuatnya teks laporan hasil observasi? Jelaskan secara sederhana.,agar memberikan Informasi faktual tentang suatu objek pengamatan,10
Jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu.,Teks Anekdot Cerita Singkat yg Lucu atau menyindir,10
Sebutkan dua ciri yang selalu ada dalam teks anekdot.,"Mengandung Humor, Berdasarkan Kejadian yg hampir nyala",10
Sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya.,"Abstrak, orientasi, krisis, Reaksi, Koda",10
Apa yang dimaksud dengan hikayat? Jelaskan dengan bahasamu sendiri.,Hikayat adalah Cerita Klasik yg berisi tentang tokoh hebat biasanya banyak kejadian,10
Sebutkan tiga ciri khas hikayat sebagai karya sastra lama.,"Mengandung unsur fantastik, Bersifat Turun Temurun, Cerita berdasarkan Kejadian",10
Sebutkan struktur umum hikayat dan jelaskan fungsi masing-masing bagian.,"Tema, Tokoh, alur, Latar , amanat",10
"Dari ketiga jenis teks (LHO, Anekdot, Hikayat), pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut, berdasarkan pemahamanmu","nilai moral, krisis sosial, informasi penting, Pelajaran hidup yg ingin disampaikan si penulis",10
Jelaskan dengan bahasamu sendiri apa yang dimaksud dengan Teks Laporan Hasil Observasi!,Laporan hasil observasi adalah teks yang berisi penjabaran umum atau laporan faktual tentang suatu objek,10
Sebutkan tiga ciri utama dari Teks Laporan Hasil Observasi!,"bersifat objektif, berdasarkan fakta, disusun secara sistematis",10
Apa tujuan dibuatnya teks laporan hasil observasi? Jelaskan secara sederhana.,untuk menyajikan Informasi data dan fakta secara objektif tentang suatu objek atau Fenomena,10
Jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu.,cerita singkat yang lucu dan mengsankan biasanya berdasarkan kejadian nyata,10
Sebutkan dua ciri yang selalu ada dalam teks anekdot.,"humor yg mengkritik, sindiran halus",10
Sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya.,"abstrak (gambaran umum),
orientasi (menunjukkan latar belakang),
krisis (puncak cerita yang berisi masala / konflik),
Reaksi (tanggapan atau Respon karakter krisis),
Koda (bagian Penutup yg berisi Kesimpulan)",10
Apa yang dimaksud dengan hikayat? Jelaskan dengan bahasamu sendiri.,"Karya Sastra melayi lama berbentuk Prosa yg berisi cerita, undang undang atau silsilah",10
Sebutkan tiga ciri khas hikayat sebagai karya sastra lama.,"bersifat istanasentris, pralogis, menggunakan bahasa melayu lama",10
Sebutkan struktur umum hikayat dan jelaskan fungsi masing-masing bagian.,"abstraksi, orientasi, komplikasi, evaluasi, resolusi, koda",8
"Dari ketiga jenis teks (LHO, Anekdot, Hikayat), pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut, berdasarkan pemahamanmu",teks anekdot = hiburan yang dibungkus kritik sosial Sindiran halus dan Pesan moral  atau amanat,10
Jelaskan dengan bahasamu sendiri apa yang dimaksud dengan Teks Laporan Hasil Observasi!,laporan Hasill pengamatan yg mencatat Secara Fakta Berdasarkan objektif dn Strukturnya,10
Sebutkan tiga ciri utama dari Teks Laporan Hasil Observasi!,"objektif, sistematis, kontrenatif",5
Apa tujuan dibuatnya teks laporan hasil observasi? Jelaskan secara sederhana.,"memberikan informasi, menganalisis, mengevaluasi",10
Jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu.,cerita singkat lucu dn menarik biasanya yata,0
Sebutkan dua ciri yang selalu ada dalam teks anekdot.,humor yg mnegeritik sindiran halus,10
Sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya.,"Pembuka, isi, Penutup",10
Apa yang dimaksud dengan hikayat? Jelaskan dengan bahasamu sendiri.,cerita pendek yg mengunakan Bahasa melayu menceritakan pertualangan pahlamawan,10
Sebutkan tiga ciri khas hikayat sebagai karya sastra lama.,"Bersifat instaniSentres, prlogis, mengunakan Bahasa melayu lama",10
Sebutkan struktur umum hikayat dan jelaskan fungsi masing-masing bagian.,"Abstraksi, orientasi, famlikasi, eramlikasi, revolusi, koda",5
"Dari ketiga jenis teks (LHO, Anekdot, Hikayat), pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut, berdasarkan pemahamanmu","nilai moral = berhubungan dgn baik / buruk prilaku 9jujur, sabar, tamak
Teks Anekdot = Hiburan yg dibungkus kritik Sosial sindiran halus dn pesan moral/amanat",10
Jelaskan dengan bahasamu sendiri apa yang dimaksud dengan Teks Laporan Hasil Observasi!,hasil teks observasi itu Seperti teks deskripsi dengan mencatat sebuah benda dengan rinci.,10
Sebutkan tiga ciri utama dari Teks Laporan Hasil Observasi!,"bersifat objektif, disusun sistematis, ditulis berdasarkan fakta",10
Apa tujuan dibuatnya teks laporan hasil observasi? Jelaskan secara sederhana.,agar dapat mengenali benda asing,0
Jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu.,teks anekdot adalah teks yang berisi sesuatu lelucon atau candaan dengan bahasa yang sederhana,10
Sebutkan dua ciri yang selalu ada dalam teks anekdot.,mengandung humor berdasarkan kejadian yang hampir nyata,10
Sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya.,"artefak, orientasi",0
Apa yang dimaksud dengan hikayat? Jelaskan dengan bahasamu sendiri.,hikayat adalah teks berisi cerita laman atau fiksi yang menggunakan bahasa melayu lama.,10
Sebutkan tiga ciri khas hikayat sebagai karya sastra lama.,"mengandung unsur tethenik, bersifat turun menurut, berdasarkan kejadian",10
Sebutkan struktur umum hikayat dan jelaskan fungsi masing-masing bagian.,"tema, tokoh, alur, latar , amanat",0
"Dari ketiga jenis teks (LHO, Anekdot, Hikayat), pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut, berdasarkan pemahamanmu","nilai moral , krisis sosial, informasi penting , pelajaran hidup yang disampaikan si penulis",0
Jelaskan dengan bahasamu sendiri apa yang dimaksud dengan Teks Laporan Hasil Observasi!,laporan berisi fajta dan hasil pengalaman,10
Sebutkan tiga ciri utama dari Teks Laporan Hasil Observasi!,"fakta, teratur dan menggunakan bahasa baku",10
Apa tujuan dibuatnya teks laporan hasil observasi? Jelaskan secara sederhana.,menyampaikan fakta hasil pengamatan,0
Jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu.,cerita pendek yang lucu sekaligus menyindir,10
Sebutkan dua ciri yang selalu ada dalam teks anekdot.,menyindir dan lucu ,10
Sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya.,"abstraksi = pembuka,
orientasi = mengenalkan,
kritik = masalah,
reaksi = penyelesaian,
koda = penutupan",10
Apa yang dimaksud dengan hikayat? Jelaskan dengan bahasamu sendiri.,cerita tradisional tentang tokoh luar biasa dengan unsur positif,10
Sebutkan tiga ciri khas hikayat sebagai karya sastra lama.,"mengandung unsur istimewa,khayal dan tokoh",0
Sebutkan struktur umum hikayat dan jelaskan fungsi masing-masing bagian.,mengantar isi peristiwa penting,0
"Dari ketiga jenis teks (LHO, Anekdot, Hikayat), pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut, berdasarkan pemahamanmu",hikayat = karena menceritakkan kisah kisah jaman dulu,0
Jelaskan dengan bahasamu sendiri apa yang dimaksud dengan Teks Laporan Hasil Observasi!,Adalah teks yg berisi laporan hasil dari pengamatan (observasi),10
Sebutkan tiga ciri utama dari Teks Laporan Hasil Observasi!,"Menggunakan bahasa yg baku, menggunakan cara yg sistematis, Pembahasan",10
Apa tujuan dibuatnya teks laporan hasil observasi? Jelaskan secara sederhana.,untuk mendapatkan informasi,10
Jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu.,Adalah cerita singkat yg berisi pujian/kritikan pada suatu prilaku/kebijakan dg cara menghibur dan ttp ada pesan moralnya ,10
Sebutkan dua ciri yang selalu ada dalam teks anekdot.,"cerita, singkat, sindiran",10
Sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya.,"Abstraksi = gambaran cerita,
orientasi = latar cerita, memperkenalkan tokoh, tempat dan waktu,
krisis = bagian inti cerita,
reaksi = tanggapan,
koda = penutup cerita",10
Apa yang dimaksud dengan hikayat? Jelaskan dengan bahasamu sendiri.,"Adalah karya Sastra Prosa Melayu lama yg berisi Cerita / undang undang yg bersifat keagamaan, rekaan dan Historis",10
Sebutkan tiga ciri khas hikayat sebagai karya sastra lama.,"Mustahil, Istanasentris, Anonoim",10
Sebutkan struktur umum hikayat dan jelaskan fungsi masing-masing bagian.,"Abstraksi = gambaran cerita,
Orientasi = latar cerita,
Komplikasi = bagian inti masalah,
evaluasi = bagian pembenaran,
resolusi = solusi dalam cerita
koda = penutup",10
"Dari ketiga jenis teks (LHO, Anekdot, Hikayat), pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut, berdasarkan pemahamanmu",Penulis dapat mengirim pesan berupa Pujian/kritikan dg hal lucu dan sarkas kpd siapa saja.,10
Jelaskan dengan bahasamu sendiri apa yang dimaksud dengan Teks Laporan Hasil Observasi!,"menjelaskan ciri-ciri umum dari satu objek atau fenomena  berdasarkan hasil  pengamatan langsung objeknya bisa berupa benda, hewan, tumbuhan dan fenomena alam",10
Sebutkan tiga ciri utama dari Teks Laporan Hasil Observasi!,bersifat objektif penyusunan teks nya sistematis dan berdasarkan fakta hasil pengamatan,10
Apa tujuan dibuatnya teks laporan hasil observasi? Jelaskan secara sederhana.,"memberikan informasi yang objektif, faktual, dan rinci kepada Pembaca tentang objek fenomena, atau peristiwa, berdasarkan hasil pengamatan ilmiah atau penelitian degan tujuan menngulaisifikasi dokumen tasikan, fakta menjadi sumber data terpercaya untuk analisis atau pengambilan keputusan",10
Jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu.,"teks anekdot adalah cerita singkat yang bersifat lucu atau menyindir biasanya digunakan untuk mengkritik prilaku kebijakan atau keadaan tertentu dengan cara yang menghibur, tetapi tetap memiliki pesan moral.",10
Sebutkan dua ciri yang selalu ada dalam teks anekdot.,"humor = elemen lucu yang membuat cerit amenghibur / cerita singkat
narasi = ringkasan yang menyampiakan pesan",10
Sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya.,"abstraksi = bagian pembuka yang memberi gambaran umum isi cerita biasanya untuk menarik perhatian,
prientasi = Bagian yang mengenalkan latar belakang seperti siapa tokohnya, kapan dan dimana peristiwa terjadi,
krisis = momen puncak konflik atau masalah yang membuat arti lucu dan,
reaksi = tanggapan atau respon  tokoh terhadap krisis, seringkali disajikan dengan cara  yang tidak terduga.
koda = penutup cerita yang berisi kesimpulan, Pesan moral, atau sindiran bagian bersikap opsional.",10
Apa yang dimaksud dengan hikayat? Jelaskan dengan bahasamu sendiri.,"hikayat merupakan karya sastra melayu klasik  berupa plosa juga merupakan rekan berisi cerita silsilah dan undang undang yang bersifat historis, keagamaan, dan lain lain",10
Sebutkan tiga ciri khas hikayat sebagai karya sastra lama.,"menggunakan bahasa melayu lama, bersifat istanafis atau pusat cerita beradi di lingkungan kerja, pralogis atau  banyak cerita yang tidak dapat diterima oleh akal",10
Sebutkan struktur umum hikayat dan jelaskan fungsi masing-masing bagian.,"mengantar isi / peristiwa, penutup",10
"Dari ketiga jenis teks (LHO, Anekdot, Hikayat), pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut, berdasarkan pemahamanmu",memberikan pesan untuk terus anekdot  memberi pesan pesan moral (kritik-kritik) ingin disampaikan penulis melalui cerita lucu  dan menyindir.,10
Jelaskan dengan bahasamu sendiri apa yang dimaksud dengan Teks Laporan Hasil Observasi!,laporan berisi fakta dan hasil pengamatan,10
Sebutkan tiga ciri utama dari Teks Laporan Hasil Observasi!,fakta teratur dan jelas bahasa baku,10
Apa tujuan dibuatnya teks laporan hasil observasi? Jelaskan secara sederhana.,menyampaikan Fakta hasil Pengamatan,10
Jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu.,Cerita Pendek yg lucu sekaligus menyindir,10
Sebutkan dua ciri yang selalu ada dalam teks anekdot.,"Lucu, menyindir",10
Sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya.,"abstraksi = pembuka,
orientasi = mengenalkan,
kritik = masalah,
reaksi = penyelesaian,
koda = penutupan",10
Apa yang dimaksud dengan hikayat? Jelaskan dengan bahasamu sendiri.,cerita tradisional tentang tokoh luar biasa dg unsur positif,0
Sebutkan tiga ciri khas hikayat sebagai karya sastra lama.,"mengandung unsur khayal, tokoh istimewa",10
Sebutkan struktur umum hikayat dan jelaskan fungsi masing-masing bagian.,"mengantar isi Pristiwa, Pneutup",10
"Dari ketiga jenis teks (LHO, Anekdot, Hikayat), pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut, berdasarkan pemahamanmu",Hikayat = kaRean menceritakan kisah kisah jaman dulu,10
Jelaskan dengan bahasamu sendiri apa yang dimaksud dengan Teks Laporan Hasil Observasi!,teks yg melaporkan sebuah hasil dari Pengamatan (observasi),10
Sebutkan tiga ciri utama dari Teks Laporan Hasil Observasi!,"tujuan untuk mendaat informasi, berisi fakta, menggunakan bahasa baku",10
Apa tujuan dibuatnya teks laporan hasil observasi? Jelaskan secara sederhana.,menyampaikan fakta hasil pengamatan,10
Jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu.,cerita pendek yang lucu sekaligus menyindir,10
Sebutkan dua ciri yang selalu ada dalam teks anekdot.,"mengandung unsur lucu, mengeritik atau sindiran",10
Sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya.,"abstraksi (pembuka cerita),
orietasi (mengenalkan Situasi dan tokoh",10
Apa yang dimaksud dengan hikayat? Jelaskan dengan bahasamu sendiri.,hikayat = Cerita tradisional tentang tokoh luar biasanya dengan Unsur fantasi,10
Sebutkan tiga ciri khas hikayat sebagai karya sastra lama.,"tokoh istimewah, mengandung unsur khayalan, melayu klasik",10
Sebutkan struktur umum hikayat dan jelaskan fungsi masing-masing bagian.,"Pengantar, isi / Pristiwa, penutup",10
"Dari ketiga jenis teks (LHO, Anekdot, Hikayat), pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut, berdasarkan pemahamanmu",,0
Jelaskan dengan bahasamu sendiri apa yang dimaksud dengan Teks Laporan Hasil Observasi!,text yg berisi suatu objek Dn Peristiwa yg Di Susun Secara Sistematis Dn terstruktuR.,10
Sebutkan tiga ciri utama dari Teks Laporan Hasil Observasi!,"Di Susun secara Sistematis, bersifat objektif, berdasarkan Fakta",10
Apa tujuan dibuatnya teks laporan hasil observasi? Jelaskan secara sederhana.,Untuk menyampaikan informasi Faktual kepada Pebaca agar bisa Di lihat Dengan Jelas,10
Jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu.,text yg bersifat lucu.,0
Sebutkan dua ciri yang selalu ada dalam teks anekdot.,"memiliki Dasar lucu, mempunyai pesan moral.",0
Sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya.,"abstraksi = pembukaan,
Orientasi = awal terjadinya,
krisis = Permasalahan,
Reaksi = Penyelesaian masalah,
koDa = Penutup, Pesan moral",10
Apa yang dimaksud dengan hikayat? Jelaskan dengan bahasamu sendiri.,hikayat aDalah karya sastra lama yg memiliki kisah atau crita.,0
Sebutkan tiga ciri khas hikayat sebagai karya sastra lama.,"tokoh tokoh nya memiliki keajaiban atau kesaktian,
tokoh tokohnya istimewa (gagah, Pemberani, Dll)
latar belakangnya Pd masa lampau",10
Sebutkan struktur umum hikayat dan jelaskan fungsi masing-masing bagian.,"Orientasi = Pengenalan tokoh- tokoh,
Komplikasi = awal terjadinya masalah,
Resolusi = Penyelesaian Masalah,
Koda = Penutup",10
"Dari ketiga jenis teks (LHO, Anekdot, Hikayat), pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut, berdasarkan pemahamanmu",Anekdot = karena Cerita ini memiliki unsur lucu Dn Pesan moral,10
Jelaskan dengan bahasamu sendiri apa yang dimaksud dengan Teks Laporan Hasil Observasi!,kata yang digunakan sehari-hari,0
Sebutkan tiga ciri utama dari Teks Laporan Hasil Observasi!,"anetdok, Hikatar, Karya Sastra",0
Apa tujuan dibuatnya teks laporan hasil observasi? Jelaskan secara sederhana.,untuk menyampaikan informasi,0
Jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu.,bersifat lucu,0
Sebutkan dua ciri yang selalu ada dalam teks anekdot.,"Sastra lama, baku",0
Sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya.,Struktur yang Singkat Tapi mudah dipahami,0
Apa yang dimaksud dengan hikayat? Jelaskan dengan bahasamu sendiri.,Hikayat ada suatu Teks laporan observasi,0
Sebutkan tiga ciri khas hikayat sebagai karya sastra lama.,"Teks yang Tidak bisa di ubah, cara legenda, mitor",0
Sebutkan struktur umum hikayat dan jelaskan fungsi masing-masing bagian.,,0
"Dari ketiga jenis teks (LHO, Anekdot, Hikayat), pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut, berdasarkan pemahamanmu",Pembicara para koruptor / Tikus Tikus berdasi,0
Jelaskan dengan bahasamu sendiri apa yang dimaksud dengan Teks Laporan Hasil Observasi!,Teks yang Berisi Narasi,0
Sebutkan tiga ciri utama dari Teks Laporan Hasil Observasi!,"Panjang, jelas, Simple",0
Apa tujuan dibuatnya teks laporan hasil observasi? Jelaskan secara sederhana.,agar Bisa di lakukan dg Baik,0
Jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu.,Tek yang Berisi Narasi,0
Sebutkan dua ciri yang selalu ada dalam teks anekdot.,jelas dan Rapih,0
Sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya.,Tek yang,0
Apa yang dimaksud dengan hikayat? Jelaskan dengan bahasamu sendiri.,Crita hikayat,0
Sebutkan tiga ciri khas hikayat sebagai karya sastra lama.,"BerBahasa Melayu kuno, agresif",0
Sebutkan struktur umum hikayat dan jelaskan fungsi masing-masing bagian.,Berbahasa Mlayu Kuno,0
"Dari ketiga jenis teks (LHO, Anekdot, Hikayat), pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut, berdasarkan pemahamanmu",Hikayat,0
Jelaskan dengan bahasamu sendiri apa yang dimaksud dengan Teks Laporan Hasil Observasi!,dokumen tertulis yang berisi informasi yg di catat dan di susun ecara sistematis sbgai hasil dari pengamatan atau peninjauan langusng (observasi) terhadap suatu objek atau kegiatan tertentu,10
Sebutkan tiga ciri utama dari Teks Laporan Hasil Observasi!,"faktual dan objektif, sistematis dan terstruktur, lengkap dan Universal",10
Apa tujuan dibuatnya teks laporan hasil observasi? Jelaskan secara sederhana.,"Untuk menyampaikan informasi faktual dan terperinci mengenai suatu objek kegiatan, atau peristiwa yang telah di amati secara langsung",10
Jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu.,Cerita singkat yang menarik karna lucu dan mengesankan yang umumnya berisi kritik atau sindiran terhadap kebiijakan,10
Sebutkan dua ciri yang selalu ada dalam teks anekdot.,"Mengandung Unsur humor (kelucuan), mengandung kritik atau sindiran",10
Sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya.,"Abstrakasi = Memberikan gamabran umum mengenai isi teks anekdot,
orientasi = Menunjukan latar belakang kejadian atau awal mula maslaah yang akan di kritik,
krisis = bagian inti cerita yang berisi puncak masalah atau kekonyolan yang menganudng unsur lucu sekaligus kritik,
Reaksi = bagian yang menjelaskan cara tokoh menyelesaikan / menanggapi masalah yang timbul atau bagian krisis,
koda = bagian penutup cerita, kadang berisi perubahan yang terjadi Pada tokoh atau sekedar penegasan ulang",10
Apa yang dimaksud dengan hikayat? Jelaskan dengan bahasamu sendiri.,"Hikayat adalah karya sastra lama / Prosa lama yang bersal dari melayu yang isinya berupa cerita  dongeng atau kisah tentang kehidupan para raja, Pahlawan, dewa/dewi, atau orang Perkasa di masalalu.",10
Sebutkan tiga ciri khas hikayat sebagai karya sastra lama.,"kemustahilan, Istana Sentris, anonim",10
Sebutkan struktur umum hikayat dan jelaskan fungsi masing-masing bagian.,"eksposisi/orientasi, komplikasi/permsalahan, kimakas, Resolusi, koda",10
"Dari ketiga jenis teks (LHO, Anekdot, Hikayat), pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut, berdasarkan pemahamanmu","Hikayat = biasanya tentang nilai moral (akhlak), nilai budaya, nilai sosial dan nilai Religius (keagamaan)",10
Jelaskan dengan bahasamu sendiri apa yang dimaksud dengan Teks Laporan Hasil Observasi!,teks Yang berisi Penjelasan / informasi,10
Sebutkan tiga ciri utama dari Teks Laporan Hasil Observasi!,"klasifikasi, bagian, manfaat",10
Apa tujuan dibuatnya teks laporan hasil observasi? Jelaskan secara sederhana.,biar Pembaca mendapatkan informasi,10
Jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu.,teks yang berisi cerita lucu,0
Sebutkan dua ciri yang selalu ada dalam teks anekdot.,"menggunakan pasis, kerja aktif",0
Sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya.,"menentukan objek, mencatat hasil pengamatan",0
