Mata Pelajaran_clean,Soal_clean,Jawaban_clean,Keterangan_clean,Skor
ipas,gula yang dilarutkan dalam air tidak terlihat lagi bentuk aslinya apakah gula tersebut hilang atau berubah menjadi zat baru jelaskan berdasarkan jenis perubahannya,gula mengalami perubahan zat padat menjadi cair dari perubahan tersebut sudah menghilangkan bentuk gula tersebut tapi gula yang mencair tidak hilang cuma berubah bentuk,jawaban siswa,10.0
ipas,gula yang dilarutkan dalam air tidak terlihat lagi bentuk aslinya apakah gula tersebut hilang atau berubah menjadi zat baru jelaskan berdasarkan jenis perubahannya,pelarutan gula dalam air merupakan perubahan fisika karena tidak menghasilkan zat baru partikel gula tetap ada hanya menyebar merata di antara partikel air sehingga membentuk larutan homogen,jawaban siswa,10.0
ipas,gula yang dilarutkan dalam air tidak terlihat lagi bentuk aslinya apakah gula tersebut hilang atau berubah menjadi zat baru jelaskan berdasarkan jenis perubahannya,ya karena gula tersebut akan tersebar merata dipartikel air,jawaban siswa,0.0
ipas,gula yang dilarutkan dalam air tidak terlihat lagi bentuk aslinya apakah gula tersebut hilang atau berubah menjadi zat baru jelaskan berdasarkan jenis perubahannya,tidak melainkan dia berubah menjadi cair jenis perubahan tersebut adalah perubahan fisika karena termasuk perubahan yang tidak menghasilkan zat baru,jawaban siswa,10.0
ipas,gula yang dilarutkan dalam air tidak terlihat lagi bentuk aslinya apakah gula tersebut hilang atau berubah menjadi zat baru jelaskan berdasarkan jenis perubahannya,gula yang awalnya padat bisa mencair karena dipanaskan dan menjadi zat cair,jawaban siswa,0.0
ipas,gula yang dilarutkan dalam air tidak terlihat lagi bentuk aslinya apakah gula tersebut hilang atau berubah menjadi zat baru jelaskan berdasarkan jenis perubahannya,gula yang dilarutkan dalam air akan mencair yaitu perubahan zat padat menjadi zat cair,jawaban siswa,0.0
ipas,gula yang dilarutkan dalam air tidak terlihat lagi bentuk aslinya apakah gula tersebut hilang atau berubah menjadi zat baru jelaskan berdasarkan jenis perubahannya,perubahan zat kimia,jawaban siswa,0.0
ipas,gula yang dilarutkan dalam air tidak terlihat lagi bentuk aslinya apakah gula tersebut hilang atau berubah menjadi zat baru jelaskan berdasarkan jenis perubahannya,gula akan terurai oleh air dan akan menyatu dengan air merupakan perubahan fisika,jawaban siswa,10.0
ipas,gula yang dilarutkan dalam air tidak terlihat lagi bentuk aslinya apakah gula tersebut hilang atau berubah menjadi zat baru jelaskan berdasarkan jenis perubahannya,perubahan fisika karena tidak menghasilkan zat baru,jawaban siswa,0.0
ipas,gula yang dilarutkan dalam air tidak terlihat lagi bentuk aslinya apakah gula tersebut hilang atau berubah menjadi zat baru jelaskan berdasarkan jenis perubahannya,berubah menjadi zat cair karena dilarutkan,jawaban siswa,0.0
ipas,gula yang dilarutkan dalam air tidak terlihat lagi bentuk aslinya apakah gula tersebut hilang atau berubah menjadi zat baru jelaskan berdasarkan jenis perubahannya,gula akan menjadi zat cair,jawaban siswa,0.0
ipas,gula yang dilarutkan dalam air tidak terlihat lagi bentuk aslinya apakah gula tersebut hilang atau berubah menjadi zat baru jelaskan berdasarkan jenis perubahannya,perubahan fisika karena gula dalam air akan membentuk larutan gula secara fisik gula berubah dari bentuk padat menjadi larut dan tidak ada perubahan zat baru tetapi hanya perubahan wujud,jawaban siswa,5.0
ipas,gula yang dilarutkan dalam air tidak terlihat lagi bentuk aslinya apakah gula tersebut hilang atau berubah menjadi zat baru jelaskan berdasarkan jenis perubahannya,pelarutan gula adalah perubahan fisika karena tidak menghasilkan zat baru partikel gula hanya menyebar diantara partikel air dan masih bisa dipisahkan kembali misal dengan penguapan,jawaban siswa,10.0
ipas,gula yang dilarutkan dalam air tidak terlihat lagi bentuk aslinya apakah gula tersebut hilang atau berubah menjadi zat baru jelaskan berdasarkan jenis perubahannya,gula itu akan membentuk zat baru,jawaban siswa,0.0
ipas,gula yang dilarutkan dalam air tidak terlihat lagi bentuk aslinya apakah gula tersebut hilang atau berubah menjadi zat baru jelaskan berdasarkan jenis perubahannya,pelarutan gula dalam air merupakan perubahan fisika karena tidak menghasilkan zat baru partikel gula tetap ada hanya menyebar merata dengan partikel air,jawaban siswa,10.0
ipas,gula yang dilarutkan dalam air tidak terlihat lagi bentuk aslinya apakah gula tersebut hilang atau berubah menjadi zat baru jelaskan berdasarkan jenis perubahannya,tidak hilang dan tidak berubah menjadi zat baru proses ini dinamakan perubahan fisika yaitu pelarutan dan hanya mengubah bentuk wujud dan penampilan fisiknya,jawaban siswa,10.0
ipas,gula yang dilarutkan dalam air tidak terlihat lagi bentuk aslinya apakah gula tersebut hilang atau berubah menjadi zat baru jelaskan berdasarkan jenis perubahannya,gula bisa dikatakan zat cair dikarenakan bisa meleleh maupun mencair pada saat terkena panas maupun air,jawaban siswa,10.0
ipas,gula yang dilarutkan dalam air tidak terlihat lagi bentuk aslinya apakah gula tersebut hilang atau berubah menjadi zat baru jelaskan berdasarkan jenis perubahannya,gula yang dilarutkan dalam air ini hilang karena ini termasuk perubahan fisika yang dimana perubahannya tidak menghasilkan zat baru akan tetapi terjadinya bentuk zat,jawaban siswa,5.0
ipas,gula yang dilarutkan dalam air tidak terlihat lagi bentuk aslinya apakah gula tersebut hilang atau berubah menjadi zat baru jelaskan berdasarkan jenis perubahannya,gula tersebut menjadi zat baru karena mengalami perubahan zat fisika dimana yang awalnya padat menjadi cair ketika dilarutkan,jawaban siswa,0.0
ipas,gula yang dilarutkan dalam air tidak terlihat lagi bentuk aslinya apakah gula tersebut hilang atau berubah menjadi zat baru jelaskan berdasarkan jenis perubahannya,gula yang dilarutkan dalam air tidak terlihat lagi bentuk aslinya berdasarkan jenis perubahan fisika,jawaban siswa,10.0
ipas,gula yang dilarutkan dalam air tidak terlihat lagi bentuk aslinya apakah gula tersebut hilang atau berubah menjadi zat baru jelaskan berdasarkan jenis perubahannya,pelarutan gula dalam air merupakan perubahan fisika karena tidak menghasilkan zat baru gula hanya berubah bentuk menjadi partikel yang lebih kecil dan tercampur dalam air gula masih dapat diperoleh melalui penguapan air,jawaban siswa,10.0
ipas,gula yang dilarutkan dalam air tidak terlihat lagi bentuk aslinya apakah gula tersebut hilang atau berubah menjadi zat baru jelaskan berdasarkan jenis perubahannya,berubah menjadi zat baru yitu zat cair karena gula yang pertama kasar terus kena air menjadi cair dan warnanya berubah,jawaban siswa,0.0
ipas,gula yang dilarutkan dalam air tidak terlihat lagi bentuk aslinya apakah gula tersebut hilang atau berubah menjadi zat baru jelaskan berdasarkan jenis perubahannya,pelarutan gula dalam air termasuk perubahan fisika bukan perubahan kimia tetapi hanya tersebar merata ke dalam air karena tidak terbentuk zat baru dalam proses tersebut saat dilarutkan gula tidak berubah menjadi zat lain tetapi hanya tersebar merata kedalam air bahwa tidak ada terjadi pembentukan zat baru,jawaban siswa,10.0
ipas,gula yang dilarutkan dalam air tidak terlihat lagi bentuk aslinya apakah gula tersebut hilang atau berubah menjadi zat baru jelaskan berdasarkan jenis perubahannya,gula menjadi cair atau berubah menjadi zat baru,jawaban siswa,0.0
ipas,gula yang dilarutkan dalam air tidak terlihat lagi bentuk aslinya apakah gula tersebut hilang atau berubah menjadi zat baru jelaskan berdasarkan jenis perubahannya,gula tersebut meleleh atau larut tentunya gula akan hilang atau berubah gula tersebut berubah menjadi zat baru karena awalnya dia berbentuk kering menjadi leleh ini termasuk perubahan fisika,jawaban siswa,10.0
ipas,gula yang dilarutkan dalam air tidak terlihat lagi bentuk aslinya apakah gula tersebut hilang atau berubah menjadi zat baru jelaskan berdasarkan jenis perubahannya,fisika karena tidak berbentuk zat baru,jawaban siswa,10.0
ipas,gula yang dilarutkan dalam air tidak terlihat lagi bentuk aslinya apakah gula tersebut hilang atau berubah menjadi zat baru jelaskan berdasarkan jenis perubahannya,iya karena gula yang larut dalam air itu termasuk perubahan fisika,jawaban siswa,10.0
ipas,jelaskan pengertian zat,zat adalah molekul molekul yang ada dikehidupan kita seperti zat padat cair dan gas,jawaban siswa,5.0
ipas,jelaskan pengertian zat,segala sesuatu yang memiliki massa dan menempati ruang,jawaban siswa,10.0
ipas,jelaskan pengertian zat,zat yaitu segala sesuatu yang menempati ruang dan memiliki massa,jawaban siswa,10.0
ipas,jelaskan pengertian zat,zat itu memilki volume atau menempati ruang memiliki massa,jawaban siswa,10.0
ipas,jelaskan pengertian zat,zat yaitu segala sesuatu yang memiliki massa dan ruang,jawaban siswa,10.0
ipas,jelaskan pengertian zat,zat adalah segala sesuatu yang memiliki masa menempati ruang memiliki volume dan memiliki komposisi serta sifat tertentu,jawaban siswa,10.0
ipas,jelaskan pengertian zat,zat adalah sesuatu yang bisa di rubah atau segala sesuatu yang memiliki massa dan menempati ruang,jawaban siswa,10.0
ipas,jelaskan pengertian zat,zat adalah segala sesuatu yang memiliki massa dan menepati ruang volume,jawaban siswa,10.0
ipas,jelaskan pengertian zat,zat adalah suatu benda atau buatan yang di bagi menjadi beberapa bagian,jawaban siswa,0.0
ipas,jelaskan pengertian zat,zat adalah suatu yang dapat berubah cair padat atau gas,jawaban siswa,5.0
ipas,jelaskan pengertian zat,komponen dasar yang membentuk seluruh benda fisik dalam semesta,jawaban siswa,0.0
ipas,jika suatu zat mengalami perubahan warna apakah dapat dipastikan terjadi perubahan kimia jelaskan dengan contoh,contoh besi yang berkarat besi yang lama kelamaan didiamkan maupun direndam air akan berkarat otomatis berubah warna kecoklatan maka disebut perubahan kimia,jawaban siswa,3.0
ipas,jika suatu zat mengalami perubahan warna apakah dapat dipastikan terjadi perubahan kimia jelaskan dengan contoh,karena warnanya berubah contoh pakan ternak yang membusuk,jawaban siswa,0.0
ipas,jika suatu zat mengalami perubahan warna apakah dapat dipastikan terjadi perubahan kimia jelaskan dengan contoh,perubahan warna terjadi karena susunan partikel atau struktur kimia zat berubah sehingga sifat fisiknya termasuk warna ikut berubah,jawaban siswa,10.0
ipas,jika suatu zat mengalami perubahan warna apakah dapat dipastikan terjadi perubahan kimia jelaskan dengan contoh,bisa dipastikan perubahan kimia karena warnanya berubah contoh pakan ternak yang difermentasi pakan ternak yang membusuk atau basi,jawaban siswa,10.0
ipas,jika suatu zat mengalami perubahan warna apakah dapat dipastikan terjadi perubahan kimia jelaskan dengan contoh,jika suatu zat mengalami perubahan warna sudah dipastikan perubahan kimia karena dia buat zat baru berubah warnanya rasanya bentuknya,jawaban siswa,5.0
ipas,jika suatu zat mengalami perubahan warna apakah dapat dipastikan terjadi perubahan kimia jelaskan dengan contoh,tidak mesti contoh perubahan warna fisika adalah kain di celup ke pewarna contoh perubahan kimia adalah besi berkarat menjadi coklat,jawaban siswa,7.0
ipas,jika suatu zat mengalami perubahan warna apakah dapat dipastikan terjadi perubahan kimia jelaskan dengan contoh,itu adalah salah satu ciri utama yang telah menandakan reaksi kimia berupa warna baru yang muncul dan terbentuknya perubahan baru contoh pembusukan buah dan sayur muncul bau dan gas serta warna yang memudar menghasilkan warna baru pembakaran kayu yang mengalami pembakaran yang dibakar yang berubah menjadi abu besi yang berkarat akibat terkena air berubah warna menjadi coklat kemerahan,jawaban siswa,10.0
ipas,jika suatu zat mengalami perubahan warna apakah dapat dipastikan terjadi perubahan kimia jelaskan dengan contoh,perubahan warna menunjukkan terjadinya reaksi kimia karena terbentuk zat baru contoh besi berkarat berubah warna dari abu abu menjadi coklat kemerahan dan buah apel yang berubah warna menjadi coklat setelah dipotong,jawaban siswa,10.0
ipas,jika suatu zat mengalami perubahan warna apakah dapat dipastikan terjadi perubahan kimia jelaskan dengan contoh,tidak karena perubahan warna termasuk ke perubahan fisika dikarenakan dari warna pink menjadi warna merah itu karena perubahan yang menimbulkan perbedaan warna maka perubahan fisika bukan kimia,jawaban siswa,0.0
ipas,jika suatu zat mengalami perubahan warna apakah dapat dipastikan terjadi perubahan kimia jelaskan dengan contoh,tidak perubahan warna pada suatu zat tidak dapat dipastikan sebagai tanda terjadi perubahan kimia contoh paku besi berkarat dan pembakaran,jawaban siswa,0.0
ipas,jika suatu zat mengalami perubahan warna apakah dapat dipastikan terjadi perubahan kimia jelaskan dengan contoh,perubahan warna menunjukkan terjadinya reaksi kimia karena terbentuknya zat baru contoh besi berkarat berubah dari abu abu menjadi coklat,jawaban siswa,10.0
ipas,jika suatu zat mengalami perubahan warna apakah dapat dipastikan terjadi perubahan kimia jelaskan dengan contoh,perubahan warna dapat menunjukkan reaski kimia karena terbentuknya zat baru,jawaban siswa,10.0
ipas,jika suatu zat mengalami perubahan warna apakah dapat dipastikan terjadi perubahan kimia jelaskan dengan contoh,perubahan warna menunjukkan terbentuknya zat baru contoh besi berubah warna menjadi soklat kemerahan saat berkarat,jawaban siswa,10.0
ipas,jika suatu zat mengalami perubahan warna apakah dapat dipastikan terjadi perubahan kimia jelaskan dengan contoh,contohnya air atau warna yang dicampur dengan warna lain atau air the akan berubah contoh air putih dengan air the dia akan berubah menjadi kuning kecoklatan kalau warna hitam dengan warna putih akan menjadi silver atau abu,jawaban siswa,3.0
ipas,jika suatu zat mengalami perubahan warna apakah dapat dipastikan terjadi perubahan kimia jelaskan dengan contoh,iya karena merupakan salah satu indikator unsual yang paling lama bukti masanya contoh pembakaran kayu besi berkarat pakan ternak yang membusuk dan lain lain,jawaban siswa,3.0
ipas,jika suatu zat mengalami perubahan warna apakah dapat dipastikan terjadi perubahan kimia jelaskan dengan contoh,dapat dipastikan perubahan kimia cotoh nya kertas yang di bakar,jawaban siswa,0.0
ipas,jika suatu zat mengalami perubahan warna apakah dapat dipastikan terjadi perubahan kimia jelaskan dengan contoh,tentu saja contoh yaitu batre jika batre di taruh di air maka akan mengeluarkan dan berubah warna,jawaban siswa,3.0
ipas,jika suatu zat mengalami perubahan warna apakah dapat dipastikan terjadi perubahan kimia jelaskan dengan contoh,tidak karena tidak berubah wujudnya hanya warnanya saja seperti buah yang busuk atau sayuran,jawaban siswa,10.0
ipas,jika suatu zat mengalami perubahan warna apakah dapat dipastikan terjadi perubahan kimia jelaskan dengan contoh,iya karena yang berubah warna biasanya terbentuknya zat baru contoh pembusukan sayur dan buah buahan sayur yang semula hijau akan berubah menjadi busuk dan warnanya berubah sedangkan jika yang kimmia tidak merubah warna hanya wujudnya saja yang berubah,jawaban siswa,10.0
ipas,jika suatu zat mengalami perubahan warna apakah dapat dipastikan terjadi perubahan kimia jelaskan dengan contoh,iya karena perubahan kimia dapat dipastikan dengan adnya perubahan warna bau bentuk dan lain lain contohnya perkaratan yang semula berwarna putih bisa berubah warna coklat karena benda itu berkarat,jawaban siswa,10.0
ipas,jika suatu zat mengalami perubahan warna apakah dapat dipastikan terjadi perubahan kimia jelaskan dengan contoh,contohnya air bening dicampur susu,jawaban siswa,0.0
ipas,jika suatu zat mengalami perubahan warna apakah dapat dipastikan terjadi perubahan kimia jelaskan dengan contoh,akan mengalami persebaran zat kimia,jawaban siswa,0.0
ipas,jika suatu zat mengalami perubahan warna apakah dapat dipastikan terjadi perubahan kimia jelaskan dengan contoh,perubahan warna termasuk dalam reaksi kimia yang dapat menghasilkan zat baru contoh besi berkarat berubah menjadi coklat kemerahan larutan indikator berubah warna saat bereaksi dengan asam atau basa,jawaban siswa,10.0
ipas,jika suatu zat mengalami perubahan warna apakah dapat dipastikan terjadi perubahan kimia jelaskan dengan contoh,perubahan warna terjadi karena susunan partikel atau struktur kimia zat berubah sehinnga sifat sifatnya termasuk warna ikut berubah,jawaban siswa,10.0
ipas,jika suatu zat mengalami perubahan warna apakah dapat dipastikan terjadi perubahan kimia jelaskan dengan contoh,tidak,jawaban siswa,0.0
ipas,jika suatu zat mengalami perubahan warna apakah dapat dipastikan terjadi perubahan kimia jelaskan dengan contoh,perubahan indikator visual yang paling umum terjadi dengan reaksi kimia,jawaban siswa,0.0
ipas,jika suatu zat mengalami perubahan warna apakah dapat dipastikan terjadi perubahan kimia jelaskan dengan contoh,bisa contohnya karat pada besi,jawaban siswa,3.0
ipas,jika suatu zat mengalami perubahan warna apakah dapat dipastikan terjadi perubahan kimia jelaskan dengan contoh,contoh perubahan warna sebagai indikator reaksi kimia besi berkarat berubah dari abu abu menjadi coklat kemerahan karena terbentuk karat,jawaban siswa,10.0
ipas,jika suatu zat mengalami perubahan warna apakah dapat dipastikan terjadi perubahan kimia jelaskan dengan contoh,ya,jawaban siswa,0.0
ipas,mengapa pakan ternak yang membusuk termasuk perubahan kimia jelaskan,karena banyak pembusukan zat yang menghasilkan zat baru diantaranya yaitu pembusukan karbohidrat menghasilkan zat baru seperti asam oksida pembusukan protein menghasilkan zat baru seperti amonia pembusukan lemak menghasilkan zat baru seperti asam lemak,jawaban siswa,10.0
ipas,mengapa pakan ternak yang membusuk termasuk perubahan kimia jelaskan,karena adanya perubahan rasa dan perubahan warna makanya disebut perubahan kimia,jawaban siswa,10.0
ipas,mengapa pakan ternak yang membusuk termasuk perubahan kimia jelaskan,karena di perubahan kimia ada fase pembusukan jika pakan diamkan lama maka perubahan kimia berekasi yaitu membusuk,jawaban siswa,0.0
ipas,mengapa pakan ternak yang membusuk termasuk perubahan kimia jelaskan,pakan ternak membusuk karena aktivitas mikroorganisme yang menguraikan zat menjadi zat baru ditandai dengan bau menyengat perubahan warna dan tekstur termasuk ke dalam perubahan kimia karena menghasilkan zat baru,jawaban siswa,10.0
ipas,mengapa pakan ternak yang membusuk termasuk perubahan kimia jelaskan,karna du fermentasi atau dibusukkan sehingga menghasilkan bahan kimia,jawaban siswa,10.0
ipas,mengapa pakan ternak yang membusuk termasuk perubahan kimia jelaskan,karena prosesnya bisa menghasilkan zat baru yang berbeda dari komposisi aslinya tidak bisa kembali ke bentuk semula seringkali berubah bau dan warna,jawaban siswa,10.0
ipas,mengapa pakan ternak yang membusuk termasuk perubahan kimia jelaskan,akibat aktivitas mikroorganisme bakteri jamur atau rekasi enzimatis yang menurunkan nilai nutrisi,jawaban siswa,0.0
ipas,mengapa pakan ternak yang membusuk termasuk perubahan kimia jelaskan,karena didorong oleh aktivitas mikroorganisme terutama dalam kondisi penyimpanan yang lembab atau tidak sempurna pembusukan,jawaban siswa,0.0
ipas,mengapa pakan ternak yang membusuk termasuk perubahan kimia jelaskan,karena bentuk pakan akan tetap sama tapi tumbuhan akan mati karena di makan bakteri,jawaban siswa,0.0
ipas,mengapa pakan ternak yang membusuk termasuk perubahan kimia jelaskan,karena reaksi kimia yang menghasilkan zat baru seperti gas berbau busuk akibat aktivitas mikroorganisme yang menyesuaikan bahan organik,jawaban siswa,10.0
ipas,mengapa pembakaran kertas menghasilkan zat baru sedangkan kertas yang disobek tidak menghasilkan zat baru,karena pembakaran akan melenyapkan keseluruhan fisik kertas dan mengubahny menjadi zat baru sedangkan disobek fisik kertas akan tetap sama walaupun dirobek sekaligus,jawaban siswa,10.0
ipas,mengapa pembakaran kertas menghasilkan zat baru sedangkan kertas yang disobek tidak menghasilkan zat baru,kalo kertas dibakar akan menghasilkan zat uap,jawaban siswa,0.0
ipas,mengapa pembakaran kertas menghasilkan zat baru sedangkan kertas yang disobek tidak menghasilkan zat baru,merobek kertas diambil lalu disobek menjadi kecil kecil tidak ada zat baru kertas yang disobek tetap kertas hanya ukuran dan bentuknya yang berbeda fisika membakar kertas menggunakan api hingga menjadi abu yang tidak dapat kembali seperti semula yang ditandai dengan perubahan bentuk zat baru kimia,jawaban siswa,10.0
ipas,mengapa pembakaran kertas menghasilkan zat baru sedangkan kertas yang disobek tidak menghasilkan zat baru,karena pembakaran kertas terjadi reaksi kimia yang menghasilkan gas,jawaban siswa,5.0
ipas,mengapa pembakaran kertas menghasilkan zat baru sedangkan kertas yang disobek tidak menghasilkan zat baru,karena kertas yang dibkr menimbulkan zat baru perubahan warna rasa bentuk sedangakan kertas disobek tidak menghasilkan perubahan apapun,jawaban siswa,10.0
ipas,mengapa pembakaran kertas menghasilkan zat baru sedangkan kertas yang disobek tidak menghasilkan zat baru,karena kertas yang dibakar menimbulkan perubahan warna kertas bau sedangkan kertas yang di sobek tetap akan menjadi kertas karena ketidak adanya perubahan warna bau,jawaban siswa,10.0
ipas,mengapa pembakaran kertas menghasilkan zat baru sedangkan kertas yang disobek tidak menghasilkan zat baru,karena kertas yang dibakar akan memengaruhi perubahan kimia maupun fisika yang dpaat menghasilkan zat baru sedangkan kertas di sobek hanya akan berubah bentuk,jawaban siswa,10.0
ipas,mengapa pembakaran kertas menghasilkan zat baru sedangkan kertas yang disobek tidak menghasilkan zat baru,karena ketika kertas di bakar kertas itu menghasilkan abu abu itu yang dinamakan zat baru sedangkan kertas yang dirobek hanya menghasilkan serpihan kertas tidak merubah zat tersebut,jawaban siswa,10.0
ipas,mengapa pembakaran kertas menghasilkan zat baru sedangkan kertas yang disobek tidak menghasilkan zat baru,karena kertas yang dibakar itu jadi hancur lebur dan hangus lalu kalau kertas disobek masih ada wujud kertas,jawaban siswa,5.0
ipas,mengapa pembakaran kertas menghasilkan zat baru sedangkan kertas yang disobek tidak menghasilkan zat baru,pembakaran kertas termasuk perubahan kimia karena terjadi pembakaran yang menghasilkan zat baru kertas dibakar menghasilkan abu yang merupakan zat baru sedangkan kertas yang disobek tidak menghasilkan zat baru karen hanya berubah bentuk saja tanpa zat baru ini menunjukkan perubahan fisika,jawaban siswa,10.0
ipas,mengapa pembakaran kertas menghasilkan zat baru sedangkan kertas yang disobek tidak menghasilkan zat baru,karena pembakaran kertas memilki sifat perubahan kimia oleh karena itu pembakaran kertas menghasilkan zat baru sedangkan kertas yang disobek memiliki sifat perubahan fisika yang terdapat perubahan bentuk saja,jawaban siswa,10.0
ipas,mengapa pembakaran kertas menghasilkan zat baru sedangkan kertas yang disobek tidak menghasilkan zat baru,karena terbakar dan berubah menjadi seperti abu makanya dinamakan zat baru,jawaban siswa,5.0
ipas,mengapa pembakaran kertas menghasilkan zat baru sedangkan kertas yang disobek tidak menghasilkan zat baru,karena saat pembakaran kertas akan menimbulkan zat baru kertas yang semula putih akan menjadi hitam sedangkan kertas yang di sobek hanya akan terjadi perubahan ukuran dan tidak menimbulkan zat baru,jawaban siswa,10.0
ipas,mengapa pembakaran kertas menghasilkan zat baru sedangkan kertas yang disobek tidak menghasilkan zat baru,kertas yang di robek akan menjadi perubahan bentuk,jawaban siswa,0.0
ipas,mengapa pembakaran kertas menghasilkan zat baru sedangkan kertas yang disobek tidak menghasilkan zat baru,karen perubahan kertas dan api adalah perubahan kimia kalau kertas yang disobek tidak ada atau tidak menghasilkan zat baru,jawaban siswa,10.0
ipas,mengapa pembakaran kertas menghasilkan zat baru sedangkan kertas yang disobek tidak menghasilkan zat baru,karena kertas yang dibakar akan hangus dan menjadi abu sedangkan kertas yang disobek ia tetap namun kertasnya sobek,jawaban siswa,10.0
ipas,mengapa pembakaran kertas menghasilkan zat baru sedangkan kertas yang disobek tidak menghasilkan zat baru,pembakaran kertas merupakan zat kimia karena pembakaran menghasilkan zat baru abu dan gas kertas disobek merupakan zat fisika karena hanya mengalami perubahan bentuk,jawaban siswa,10.0
ipas,mengapa pembakaran kertas menghasilkan zat baru sedangkan kertas yang disobek tidak menghasilkan zat baru,karena kertas yang semula biasa menjadi terbakar dan hangus sedangkan kertas yang disobek hanya berubahbentuk tidak berubah zat,jawaban siswa,10.0
ipas,mengapa pembakaran kertas menghasilkan zat baru sedangkan kertas yang disobek tidak menghasilkan zat baru,contoh perubahan fisika merobek kertas hasil pengamtan yaitu ukuran kertas berubah menjadi lebih kecil keberdaan zat barunya yaitu tidak ada karena kertas hanya berubah ukuran atau bentuk contoh perubahan kimia membakar kertas hasil pengamatan yaitu kertas berubah warna menjadi hitam menghasilkan asap dan sisa abu keberadaan zat barunya yaitu adanya warna abu dan asap yang membuat berbeda dari kertas asal,jawaban siswa,10.0
ipas,mengapa pembakaran kertas menghasilkan zat baru sedangkan kertas yang disobek tidak menghasilkan zat baru,karena merupakan perubahan kimia yang mengubah struktur molekul akibat reaksi oksidasi dengan oksigen bersifat permanen,jawaban siswa,0.0
ipas,mengapa pembakaran kertas menghasilkan zat baru sedangkan kertas yang disobek tidak menghasilkan zat baru,karena kertas dipotong perubahan fisika tidak terbentuk zat bar kertas dibakar perubahan kimia kesimpulannya pembakaran menghasilkan zat baru sedangkan pemotongan tidak menghasilkan zat baru,jawaban siswa,10.0
ipas,mengapa pembakaran kertas menghasilkan zat baru sedangkan kertas yang disobek tidak menghasilkan zat baru,pembakaran kertas termasuk perubahan kimia sedangkan kertas disobek termasuk perubahan fisika,jawaban siswa,10.0
ipas,mengapa pembakaran kertas menghasilkan zat baru sedangkan kertas yang disobek tidak menghasilkan zat baru,karena kertas yang dibakar menimbulkan zat baru perubahan warna rasa bentuk sedangkan kertas disobek tidak menghasilkan perubahan apapun,jawaban siswa,10.0
ipas,mengapa pembakaran kertas menghasilkan zat baru sedangkan kertas yang disobek tidak menghasilkan zat baru,karna pada saat sobekan kertas masih sama dan bisa di sambungkan tetapi jika sudah tercampur zat lain contoh api jika api di gabungkan maka kertas akan terbakar dan menciptakan suatu zat baru,jawaban siswa,0.0
ipas,mengapa pembakaran kertas menghasilkan zat baru sedangkan kertas yang disobek tidak menghasilkan zat baru,karena sesuatu yang berupa kertas baik di sobek maupun di bakar itu perubahnnya berbeda jikalau pembakaran kertas ini sama halnya dengan pembakaran kayu karena melalui komposisi yang berbeda atau sifatnya yang berbeda dari zat lainnya maka pembakaran kertas ini termasuk perubahan kimia,jawaban siswa,10.0
ipas,mengapa pembakaran kertas menghasilkan zat baru sedangkan kertas yang disobek tidak menghasilkan zat baru,iya karena kertas yang dibakar dapat mengeluarkan asap berubah menjadi abu dan tidak bisa kembali ke wujud semula,jawaban siswa,5.0
ipas,mengapa pembakaran kertas menghasilkan zat baru sedangkan kertas yang disobek tidak menghasilkan zat baru,kertas dipotong merupakan perubahan fisika dan tidak terbentuk zat baru kertas dibakar merupakan perubahan kimia dan terbentuknya gas baru seperti gas dan abu kesimpulannya pembakaran menghasilkan zat baru sedangkan pemotongan tidak,jawaban siswa,10.0
ipas,mengapa pembakaran kertas menghasilkan zat baru sedangkan kertas yang disobek tidak menghasilkan zat baru,jika kertas dirobek merupkan perubahan fisika tidak ada zat baru jika kertas dibakar merupakan perubahan kimia menghasilkan abu dan gas,jawaban siswa,10.0
ipas,mengapa pembakaran kertas menghasilkan zat baru sedangkan kertas yang disobek tidak menghasilkan zat baru,karena terbaik,jawaban siswa,0.0
ipas,mengapa pembakaran kertas menghasilkan zat baru sedangkan kertas yang disobek tidak menghasilkan zat baru,karna jika kertas di bakar akan menjadi hancur dan berganti tekstur warna dan bentuk namun jika disobek kertas tetap berwarna sama hanya berubah bentuknya,jawaban siswa,10.0
ipas,sebutkan ciri ciri terjadinya perubahan kimia,terbentuknya gas terbentuknya endapan perubahan warna perubahan suhu,jawaban siswa,10.0
ipas,sebutkan ciri ciri terjadinya perubahan kimia,perubahan warna timbul gas berbentuk endapan perubahan suhu dan timbul bau baru,jawaban siswa,10.0
ipas,sebutkan ciri ciri terjadinya perubahan kimia,membusuk memiliki zat padat,jawaban siswa,0.0
ipas,sebutkan ciri ciri terjadinya perubahan kimia,esbatu ditaruh ditempat yang panas akan mencair akan menjadi zat cair,jawaban siswa,0.0
ipas,sebutkan ciri ciri terjadinya perubahan kimia,membuat zat baru yaitu adanya perubahan betuk rasa warna itulah perubahan kimia,jawaban siswa,10.0
ipas,sebutkan ciri ciri terjadinya perubahan kimia,tidak,jawaban siswa,0.0
ipas,sebutkan ciri ciri terjadinya perubahan kimia,terbentuknya zat baru perubahan warna pembentukan gas perubahan suhu,jawaban siswa,10.0
ipas,sebutkan ciri ciri terjadinya perubahan kimia,perubahan warna perubahan bentuk gas oerubahan bau terbentuk endapan,jawaban siswa,10.0
ipas,sebutkan ciri ciri terjadinya perubahan kimia,terbentunya gas atau gelembung terjadi perubahan warna terbentuknya endapan atau muncul bau busuk,jawaban siswa,10.0
